// Déplacements de l'unité terrestre 1 sur un horizon temporel (x_1^t, y_1^t) 
(360.0,210.0), )

// Déplacements de l'unité terrestre 2 sur un horizon temporel (x_2^t, y_2^t) 
(80.0,150.0), )

// Déplacements de l'unité terrestre 3 sur un horizon temporel (x_3^t, y_3^t) 
(490.0,80.0), )

// Déplacements de l'unité terrestre 4 sur un horizon temporel (x_4^t, y_4^t) 
(200.0,140.0), )

// Déplacements de l'unité terrestre 5 sur un horizon temporel (x_5^t, y_5^t) 
(600.0,880.0), )

// Déplacements de l'unité terrestre 6 sur un horizon temporel (x_6^t, y_6^t) 
(450.0,620.0), )

// Déplacements de l'unité terrestre 7 sur un horizon temporel (x_7^t, y_7^t) 
(130.0,550.0), )

// Déplacements de l'unité terrestre 8 sur un horizon temporel (x_8^t, y_8^t) 
(150.0,490.0), )

// Déplacements de l'unité terrestre 9 sur un horizon temporel (x_9^t, y_9^t) 
(650.0,170.0), )

// Déplacements de l'unité terrestre 10 sur un horizon temporel (x_10^t, y_10^t) 
(270.0,640.0), )

