// Déplacements de l'unité terrestre 1 sur un horizon temporel (x_1^t, y_1^t) 
(470.0,670.0), )

// Déplacements de l'unité terrestre 2 sur un horizon temporel (x_2^t, y_2^t) 
(590.0,10.0), )

// Déplacements de l'unité terrestre 3 sur un horizon temporel (x_3^t, y_3^t) 
(340.0,30.0), )

// Déplacements de l'unité terrestre 4 sur un horizon temporel (x_4^t, y_4^t) 
(170.0,890.0), )

// Déplacements de l'unité terrestre 5 sur un horizon temporel (x_5^t, y_5^t) 
(680.0,890.0), )

// Déplacements de l'unité terrestre 6 sur un horizon temporel (x_6^t, y_6^t) 
(570.0,770.0), )

// Déplacements de l'unité terrestre 7 sur un horizon temporel (x_7^t, y_7^t) 
(90.0,130.0), )

// Déplacements de l'unité terrestre 8 sur un horizon temporel (x_8^t, y_8^t) 
(330.0,350.0), )

// Déplacements de l'unité terrestre 9 sur un horizon temporel (x_9^t, y_9^t) 
(210.0,330.0), )

// Déplacements de l'unité terrestre 10 sur un horizon temporel (x_10^t, y_10^t) 
(970.0,30.0), )

