// Déplacements de l'unité terrestre 1 sur un horizon temporel (x_1^t, y_1^t) 
(870.0,740.0), )

// Déplacements de l'unité terrestre 2 sur un horizon temporel (x_2^t, y_2^t) 
(280.0,960.0), )

// Déplacements de l'unité terrestre 3 sur un horizon temporel (x_3^t, y_3^t) 
(790.0,730.0), )

// Déplacements de l'unité terrestre 4 sur un horizon temporel (x_4^t, y_4^t) 
(50.0,530.0), )

// Déplacements de l'unité terrestre 5 sur un horizon temporel (x_5^t, y_5^t) 
(140.0,270.0), )

// Déplacements de l'unité terrestre 6 sur un horizon temporel (x_6^t, y_6^t) 
(370.0,520.0), )

// Déplacements de l'unité terrestre 7 sur un horizon temporel (x_7^t, y_7^t) 
(450.0,440.0), )

// Déplacements de l'unité terrestre 8 sur un horizon temporel (x_8^t, y_8^t) 
(450.0,490.0), )

// Déplacements de l'unité terrestre 9 sur un horizon temporel (x_9^t, y_9^t) 
(820.0,990.0), )

// Déplacements de l'unité terrestre 10 sur un horizon temporel (x_10^t, y_10^t) 
(260.0,550.0), )

