// Déplacements de l'unité terrestre 1 sur un horizon temporel (x_1^t, y_1^t) 
(610.0,500.0), )

// Déplacements de l'unité terrestre 2 sur un horizon temporel (x_2^t, y_2^t) 
(840.0,920.0), )

// Déplacements de l'unité terrestre 3 sur un horizon temporel (x_3^t, y_3^t) 
(660.0,720.0), )

// Déplacements de l'unité terrestre 4 sur un horizon temporel (x_4^t, y_4^t) 
(450.0,680.0), )

// Déplacements de l'unité terrestre 5 sur un horizon temporel (x_5^t, y_5^t) 
(290.0,140.0), )

// Déplacements de l'unité terrestre 6 sur un horizon temporel (x_6^t, y_6^t) 
(830.0,320.0), )

// Déplacements de l'unité terrestre 7 sur un horizon temporel (x_7^t, y_7^t) 
(780.0,770.0), )

// Déplacements de l'unité terrestre 8 sur un horizon temporel (x_8^t, y_8^t) 
(670.0,590.0), )

// Déplacements de l'unité terrestre 9 sur un horizon temporel (x_9^t, y_9^t) 
(630.0,530.0), )

// Déplacements de l'unité terrestre 10 sur un horizon temporel (x_10^t, y_10^t) 
(820.0,390.0), )

