// Déplacements de l'unité terrestre 1 sur un horizon temporel (x_1^t, y_1^t) 
(750.0,600.0), (600.0,600.0), (600.0,750.0), (450.0,750.0), (600.0,750.0), (600.0,600.0), (750.0,450.0), (600.0,300.0), (750.0,150.0), (750.0,300.0), (600.0,150.0), (450.0,150.0), (600.0,300.0), (750.0,300.0), (600.0,300.0), (750.0,150.0), (600.0,150.0), (450.0,300.0), (300.0,150.0), (150.0,150.0), (150.0,300.0), (300.0,450.0), (300.0,300.0), (450.0,450.0), (450.0,300.0), (600.0,150.0), (450.0,150.0), (450.0,300.0), (600.0,150.0), (750.0,150.0), (600.0,150.0), (750.0,150.0), (600.0,300.0), (450.0,150.0), (600.0,300.0), (600.0,450.0), (750.0,600.0), (750.0,750.0), (750.0,600.0), (750.0,450.0), (600.0,450.0), (600.0,300.0), (450.0,450.0), (450.0,600.0), (450.0,450.0), (450.0,600.0), (300.0,450.0), (150.0,450.0), (300.0,450.0), (150.0,300.0), (300.0,150.0), (150.0,150.0), (300.0,150.0), (450.0,150.0), (300.0,150.0), (150.0,150.0), (150.0,300.0), (150.0,450.0), (150.0,300.0), (150.0,450.0), (300.0,450.0), (450.0,600.0), (300.0,600.0), (450.0,600.0), (300.0,450.0), (450.0,450.0), (600.0,600.0), (750.0,600.0), (600.0,600.0), (450.0,600.0), (300.0,600.0), (150.0,600.0), (300.0,450.0), (300.0,600.0), (450.0,450.0), (600.0,450.0), (750.0,300.0), (750.0,150.0), (600.0,300.0), (450.0,450.0), (600.0,450.0), (450.0,300.0), (600.0,150.0), (600.0,300.0), (450.0,300.0), (600.0,300.0), (450.0,450.0), (450.0,300.0), (450.0,450.0), (450.0,300.0), (450.0,150.0), (300.0,150.0), (450.0,150.0), (600.0,150.0), (450.0,150.0), (450.0,300.0), (450.0,450.0), (300.0,600.0), (150.0,600.0), (150.0,450.0)

// Déplacements de l'unité terrestre 2 sur un horizon temporel (x_2^t, y_2^t) 
(600.0,450.0), (450.0,600.0), (450.0,750.0), (600.0,600.0), (450.0,750.0), (450.0,600.0), (600.0,450.0), (600.0,300.0), (750.0,150.0), (600.0,300.0), (450.0,450.0), (600.0,300.0), (600.0,450.0), (600.0,600.0), (450.0,600.0), (600.0,750.0), (750.0,750.0), (600.0,750.0), (450.0,600.0), (300.0,600.0), (450.0,600.0), (600.0,600.0), (450.0,450.0), (450.0,300.0), (450.0,150.0), (300.0,150.0), (150.0,300.0), (300.0,150.0), (300.0,300.0), (300.0,150.0), (300.0,300.0), (150.0,450.0), (150.0,300.0), (300.0,450.0), (150.0,600.0), (150.0,450.0), (300.0,300.0), (450.0,150.0), (600.0,150.0), (750.0,300.0), (750.0,450.0), (600.0,600.0), (600.0,450.0), (750.0,450.0), (600.0,300.0), (450.0,450.0), (600.0,450.0), (450.0,450.0), (600.0,450.0), (600.0,300.0), (600.0,450.0), (600.0,600.0), (600.0,450.0), (750.0,300.0), (750.0,150.0), (750.0,300.0), (750.0,150.0), (750.0,300.0), (750.0,150.0), (750.0,300.0), (600.0,450.0), (450.0,450.0), (300.0,450.0), (300.0,600.0), (150.0,450.0), (150.0,300.0), (150.0,450.0), (300.0,300.0), (450.0,150.0), (300.0,150.0), (150.0,150.0), (300.0,300.0), (150.0,300.0), (150.0,450.0), (300.0,450.0), (300.0,600.0), (300.0,750.0), (450.0,750.0), (300.0,750.0), (450.0,750.0), (300.0,750.0), (450.0,600.0), (600.0,600.0), (600.0,750.0), (750.0,750.0), (600.0,750.0), (450.0,750.0), (450.0,600.0), (300.0,600.0), (150.0,600.0), (300.0,750.0), (150.0,600.0), (150.0,750.0), (300.0,750.0), (150.0,750.0), (300.0,750.0), (450.0,750.0), (300.0,750.0), (450.0,750.0), (600.0,750.0)

// Déplacements de l'unité terrestre 3 sur un horizon temporel (x_3^t, y_3^t) 
(150.0,450.0), (300.0,600.0), (450.0,450.0), (450.0,600.0), (450.0,450.0), (450.0,300.0), (300.0,150.0), (450.0,300.0), (450.0,450.0), (600.0,300.0), (750.0,450.0), (750.0,300.0), (600.0,150.0), (750.0,300.0), (600.0,450.0), (450.0,300.0), (300.0,450.0), (150.0,600.0), (300.0,600.0), (450.0,750.0), (600.0,600.0), (450.0,450.0), (300.0,600.0), (150.0,450.0), (300.0,600.0), (450.0,450.0), (600.0,450.0), (750.0,300.0), (600.0,150.0), (600.0,300.0), (450.0,150.0), (300.0,150.0), (300.0,300.0), (450.0,300.0), (450.0,150.0), (450.0,300.0), (450.0,150.0), (600.0,150.0), (450.0,150.0), (300.0,300.0), (300.0,450.0), (300.0,600.0), (450.0,450.0), (450.0,300.0), (300.0,150.0), (300.0,300.0), (150.0,450.0), (300.0,450.0), (450.0,600.0), (300.0,450.0), (450.0,300.0), (450.0,450.0), (450.0,300.0), (300.0,150.0), (150.0,300.0), (150.0,450.0), (300.0,600.0), (450.0,750.0), (600.0,600.0), (450.0,600.0), (300.0,600.0), (150.0,450.0), (150.0,600.0), (150.0,450.0), (150.0,600.0), (150.0,750.0), (300.0,750.0), (150.0,750.0), (150.0,600.0), (150.0,750.0), (150.0,600.0), (150.0,750.0), (150.0,600.0), (300.0,750.0), (150.0,750.0), (300.0,600.0), (450.0,450.0), (300.0,600.0), (150.0,600.0), (300.0,750.0), (150.0,600.0), (300.0,750.0), (300.0,600.0), (450.0,600.0), (600.0,750.0), (450.0,600.0), (600.0,450.0), (450.0,450.0), (450.0,600.0), (600.0,600.0), (450.0,750.0), (300.0,750.0), (450.0,600.0), (600.0,750.0), (750.0,750.0), (600.0,600.0), (600.0,450.0), (600.0,600.0), (750.0,600.0), (600.0,750.0)

// Déplacements de l'unité terrestre 4 sur un horizon temporel (x_4^t, y_4^t) 
(750.0,750.0), (600.0,750.0), (750.0,750.0), (750.0,600.0), (750.0,450.0), (750.0,300.0), (600.0,450.0), (450.0,450.0), (600.0,300.0), (600.0,450.0), (450.0,300.0), (600.0,150.0), (600.0,300.0), (450.0,450.0), (300.0,450.0), (150.0,600.0), (300.0,600.0), (150.0,750.0), (300.0,750.0), (150.0,750.0), (300.0,750.0), (300.0,600.0), (300.0,750.0), (150.0,600.0), (300.0,750.0), (450.0,600.0), (450.0,750.0), (450.0,600.0), (600.0,600.0), (750.0,600.0), (600.0,750.0), (750.0,600.0), (750.0,750.0), (600.0,750.0), (450.0,600.0), (600.0,450.0), (750.0,450.0), (600.0,600.0), (600.0,750.0), (450.0,600.0), (450.0,750.0), (450.0,600.0), (600.0,750.0), (750.0,750.0), (600.0,600.0), (600.0,750.0), (750.0,600.0), (600.0,600.0), (750.0,450.0), (600.0,450.0), (750.0,450.0), (750.0,600.0), (750.0,450.0), (600.0,600.0), (450.0,450.0), (600.0,600.0), (750.0,450.0), (750.0,600.0), (750.0,450.0), (750.0,300.0), (600.0,150.0), (750.0,300.0), (750.0,450.0), (600.0,600.0), (750.0,600.0), (750.0,750.0), (750.0,600.0), (750.0,450.0), (600.0,450.0), (750.0,600.0), (750.0,450.0), (750.0,300.0), (600.0,450.0), (750.0,600.0), (750.0,750.0), (600.0,750.0), (450.0,600.0), (300.0,600.0), (300.0,450.0), (150.0,300.0), (300.0,300.0), (150.0,450.0), (150.0,600.0), (300.0,600.0), (450.0,750.0), (600.0,600.0), (750.0,600.0), (600.0,600.0), (750.0,750.0), (600.0,600.0), (450.0,450.0), (600.0,450.0), (450.0,450.0), (600.0,300.0), (450.0,150.0), (300.0,150.0), (450.0,300.0), (300.0,150.0), (300.0,300.0), (450.0,450.0)
